,Read Length,Mean Fragment Length,Fragment Length Std. Dev.,Read 2 Slope Normal Mean,Read 2 Slope Normal Std. Dev.
272,300,350,175,1216.9499827345214,166.6493249924354
273,300,400,25,1228.5593614252407,113.15318312128248
274,300,400,50,1229.1156135867525,117.97977227111386
275,300,400,75,1231.605723342888,127.35801207437723
276,300,400,100,1234.7624901707907,137.82499163509814
277,300,400,125,1237.5827030521125,153.72269135050814
278,300,400,150,1245.0746582520367,163.00983431355422
279,300,400,175,1252.7576627537305,180.0127828885944
280,300,450,25,1279.3272107648575,113.01169331038209
281,300,450,50,1279.4922881805635,118.46111655819703
282,300,450,75,1280.3989207870973,129.24220783060093
283,300,450,100,1279.9434282905804,143.43056425514084
284,300,450,125,1283.3529028593196,158.1866583560474
285,300,450,150,1289.6886780005755,172.06461490428939
286,300,450,175,1296.2222173800494,188.95812339963445
287,300,500,25,1329.834228827671,112.77051096818263
288,300,500,50,1328.6400028671499,118.69670409674605
289,300,500,75,1329.0883739645353,129.9043569570331
290,300,500,100,1333.7197905975306,143.45623753951259
291,300,500,125,1329.3324318443754,159.35916491973146
292,300,500,150,1339.9975366942988,177.58073922236827
293,300,500,175,1339.384461032639,193.2171812054068
