,Read Length,Mean Fragment Length,Fragment Length Std. Dev.,Read 2 Slope Normal Mean,Read 2 Slope Normal Std. Dev.
0,50,200,25,1152.7937722094132,57.62532760609865
1,50,200,50,1154.3296936761158,70.45833376522069
2,50,200,75,1155.263744921401,86.07227573883058
3,50,200,100,1161.492950425596,102.93916236580776
4,50,200,125,1168.4356319871304,121.48296718848556
5,50,200,150,1174.3491951401286,134.94868473814913
6,50,200,175,1184.9042882281278,151.69890675592703
7,50,250,25,1204.7033127085233,56.79377910032709
8,50,250,50,1202.981077166444,71.23422843665206
9,50,250,75,1205.3575132590554,87.8304348768328
10,50,250,100,1206.9545419757244,107.4886417635186
11,50,250,125,1212.4543644926825,129.99222745699691
12,50,250,150,1219.204792413961,144.25035938294874
13,50,250,175,1228.9501983529528,163.84018098539212
14,50,300,25,1254.395301631741,57.36754968087864
15,50,300,50,1255.2147194688325,68.56999957436672
16,50,300,75,1254.186075256537,89.6459259808644
17,50,300,100,1256.9041044625233,112.04017686889898
18,50,300,125,1260.7852523990953,129.23182036898584
19,50,300,150,1260.5474335614101,154.44643481601528
20,50,300,175,1266.3285880221874,165.73706241608468
21,50,350,25,1303.6164289779476,57.534489903532496
22,50,350,50,1304.7650992499325,69.16360817083066
23,50,350,75,1304.294698304722,88.0316896951623
24,50,350,100,1305.6203373151604,109.59941125037638
25,50,350,125,1310.2922253354066,130.19039110920133
26,50,350,150,1307.6740688080865,157.18844300426332
27,50,350,175,1315.477354006988,172.9802436004889
28,50,400,25,1354.26845608407,57.247032645132506
29,50,400,50,1354.755553480372,69.1243821383639
30,50,400,75,1355.0420300706412,86.76272275347392
31,50,400,100,1355.173469471032,111.4499803896558
32,50,400,125,1353.014629631064,133.74085228331742
33,50,400,150,1357.0339135205695,155.48505022707022
34,50,400,175,1363.3192875269933,174.3608246537497
35,50,450,25,1404.2560033440018,57.34174634421512
36,50,450,50,1403.3669293620915,70.3876889461018
37,50,450,75,1407.382267979797,90.02187103062437
